experiment,sample,seed,source,width,height,frames,pix_fmt,structure,rc_mode,qp,variant,x265_params,raw_bytes,hevc_bytes,mp4_bytes,ratio_hevc,ratio_mp4,kbps,avg_qp,frames_I,frames_P,frames_B,avgqp_I,avgqp_P,avgqp_B,lossless_rc,encode_wall_s,encode_fps,identical,mae_all,mse_all,psnr_all,max_err_all,mae_Y,mse_Y,psnr_Y,max_err_Y,mae_U,mse_U,psnr_U,max_err_U,mae_V,mse_V,psnr_V,max_err_V,input_sha256,tools
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,lossless,,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:lossless=1,61440,84919,85870,1.3821451822916666,1.3976236979166667,1652.26,4.0,1,2,7,4.0,4.0,4.0,True,0.0914,295.56,False,0.011523,0.529655,50.8909,99,0.012598,0.652539,49.9847,99,0.008691,0.246387,54.2146,39,0.010059,0.321387,53.0605,45,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,0,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=0,61440,94633,95584,1.5402506510416667,1.5557291666666666,1847.0,0.0,1,2,7,0.0,0.0,0.0,False,0.1013,198.58,False,0.162305,2.338411,44.4416,128,0.187598,2.616992,43.9528,110,0.125684,2.810059,43.6436,128,0.097754,0.752441,49.3661,45,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,4,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=4,61440,80850,81801,1.31591796875,1.331396484375,1570.82,4.9,1,2,7,1.0,4.0,5.71,False,0.0985,231.51,False,0.31818,0.900765,48.5847,106,0.332349,1.131421,47.5946,106,0.288086,0.351367,52.6732,25,0.291602,0.527539,50.9083,49,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,8,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=8,61440,70484,71435,1.1472005208333333,1.1626790364583333,1363.5,8.9,1,2,7,5.0,8.0,9.71,False,0.0908,248.26,False,0.578564,1.999105,45.1224,134,0.586304,2.062378,44.9871,134,0.573145,2.155957,44.7944,77,0.553027,1.58916,46.1191,65,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,10,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=10,61440,65759,66710,1.0702962239583333,1.0857747395833333,1268.98,10.9,1,2,7,7.0,10.0,11.71,False,0.1145,173.54,False,0.718815,1.202311,47.3306,79,0.727271,1.288794,47.029,79,0.699219,1.013672,48.0718,20,0.70459,1.04502,47.9396,26,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,12,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=12,61440,62003,62954,1.0091634114583334,1.0246419270833333,1193.86,12.9,1,2,7,9.0,12.0,13.71,False,0.093,261.9,False,0.910173,2.119613,44.8682,100,0.913696,2.267505,44.5753,100,0.908887,1.83877,45.4855,40,0.897363,1.808887,45.5567,44,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,14,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=14,61440,58678,59629,0.9550455729166667,0.9705240885416667,1127.36,14.9,1,2,7,11.0,14.0,15.71,False,0.1034,185.18,False,1.140365,2.385807,44.3544,40,1.133203,2.370068,44.3832,40,1.159668,2.46123,44.2193,26,1.149707,2.37334,44.3772,13,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,16,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=16,61440,55147,56098,0.8975748697916667,0.9130533854166667,1056.74,16.9,1,2,7,13.0,16.0,17.71,False,0.1158,181.3,False,1.437956,3.589518,42.5804,37,1.415918,3.494141,42.6974,37,1.490625,3.818945,42.3114,13,1.473437,3.741602,42.4002,21,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,18,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=18,61440,52115,53066,0.8482259114583334,0.8637044270833333,996.1,18.9,1,2,7,15.0,18.0,19.71,False,0.0917,232.43,False,1.873519,11.540446,37.5086,110,1.86604,12.919653,37.0183,110,1.877148,8.311328,38.9341,56,1.899805,9.252734,38.4681,64,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
core,0,4039043145,mt19937,64,64,10,yuv420p,IPB,cqp,20,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=20,61440,48532,49483,0.7899088541666667,0.8053873697916667,924.44,20.9,1,2,7,17.0,20.0,21.71,False,0.0901,237.69,False,2.343636,14.809424,36.4254,112,2.333008,16.160059,36.0464,112,2.364063,11.65625,37.4652,57,2.365723,12.560059,37.1409,65,da1c9eb2b76a1c232403c63da9a455c94cf2aa9b2a18f828c056d87384ba9664,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
