config,sample,critical_qp
128x128 f10 IPB,0,11.117773767246902
128x128 f10 IPB,1,11.210272669625875
128x128 f10 IPB,2,11.162097051737986
128x128 f10 IPB,3,11.143218245533408
128x128 f10 IPB,4,11.24342105263158
128x128 f10 IPB,5,11.224189814814814
128x128 f10 IPB,6,11.180685551354367
128x128 f10 IPB,7,11.128919454481874
128x128 f10 IPB,8,11.229194225570831
128x128 f10 IPB,9,11.134957993207415
128x128 f10 IPB,10,11.217704710717674
128x128 f10 IPB,11,11.064878624200652
128x128 f10 IPB,12,11.205985278146498
128x128 f10 IPB,13,11.09770446418272
128x128 f10 IPB,14,11.163837434337845
128x128 f10 IPB,15,11.101428333240706
128x128 f10 IPB,16,11.199785816277963
128x128 f10 IPB,17,11.293224448130662
128x128 f10 IPB,18,11.136342857142857
128x128 f10 IPB,19,11.178456494019066
256x256 f1 all-I,0,15.523705324580598
256x256 f1 all-I,1,15.52372195660169
256x256 f1 all-I,2,15.464829586656997
256x256 f1 all-I,3,15.537593300564357
256x256 f1 all-I,4,15.500368188512518
256x256 f1 all-I,5,15.520652173913044
256x256 f1 all-I,6,15.541214750542299
256x256 f1 all-I,7,15.52488605287147
256x256 f1 all-I,8,15.489740330488472
256x256 f1 all-I,9,15.525880661394678
256x256 f1 all-I,10,15.502269014340172
256x256 f1 all-I,11,15.48954735502636
256x256 f1 all-I,12,15.4969347277317
256x256 f1 all-I,13,15.511029411764707
256x256 f1 all-I,14,15.50053552302749
256x256 f1 all-I,15,15.541365907828984
256x256 f1 all-I,16,15.506195335276969
256x256 f1 all-I,17,15.527556200145032
256x256 f1 all-I,18,15.524467891577222
256x256 f1 all-I,19,15.497731809109057
256x256 f10 IP,0,11.878508402429832
256x256 f10 IP,1,11.868239396026937
256x256 f10 IP,2,11.821016641366496
256x256 f10 IP,3,11.858319357930046
256x256 f10 IP,4,11.80998477267783
256x256 f10 IP,5,11.948381637402154
256x256 f10 IP,6,11.869006571773792
256x256 f10 IP,7,11.846057096057095
256x256 f10 IP,8,11.922737464474945
256x256 f10 IP,9,11.848679250650777
256x256 f10 IP,10,11.888851592942306
256x256 f10 IP,11,11.842063044059538
256x256 f10 IP,12,11.84455185583005
256x256 f10 IP,13,11.828069653222203
256x256 f10 IP,14,11.79923848134553
256x256 f10 IP,15,11.826093269063243
256x256 f10 IP,16,11.87312145465848
256x256 f10 IP,17,11.984040679419829
256x256 f10 IP,18,11.840813594086063
256x256 f10 IP,19,11.910797710815228
256x256 f10 IP,20,11.826350668314047
256x256 f10 IP,21,11.888467386463118
256x256 f10 IP,22,11.794267352916084
256x256 f10 IP,23,11.886968999432005
256x256 f10 IP,24,11.751405250873534
256x256 f10 IP,25,11.819459018304768
256x256 f10 IP,26,11.888744180476344
256x256 f10 IP,27,11.875611223372255
256x256 f10 IP,28,11.918069937993769
256x256 f10 IP,29,11.826674153318752
256x256 f10 IPB,0,10.873596966082514
256x256 f10 IPB,1,10.86961617345444
256x256 f10 IPB,2,10.935820187233064
256x256 f10 IPB,3,10.931039350072929
256x256 f10 IPB,4,10.963836625167712
256x256 f10 IPB,5,10.90469398751228
256x256 f10 IPB,6,10.924908452508326
256x256 f10 IPB,7,11.000724291504218
256x256 f10 IPB,8,10.913445919024124
256x256 f10 IPB,9,10.964411102775696
256x256 f10 IPB,10,10.936033572836525
256x256 f10 IPB,11,10.886723973256927
256x256 f10 IPB,12,10.92668612594709
256x256 f10 IPB,13,10.977642429633205
256x256 f10 IPB,14,10.933637946040033
256x256 f10 IPB,15,10.917776062262691
256x256 f10 IPB,16,10.917018159215024
256x256 f10 IPB,17,10.964067856983839
256x256 f10 IPB,18,10.97981590662977
256x256 f10 IPB,19,10.93700169502166
256x256 f10 IPB,20,10.913104508045333
256x256 f10 IPB,21,10.925407390406244
256x256 f10 IPB,22,10.974988726890128
256x256 f10 IPB,23,11.020857046667846
256x256 f10 IPB,24,10.905054118227511
256x256 f10 IPB,25,10.957217187234635
256x256 f10 IPB,26,10.926068186146914
256x256 f10 IPB,27,10.958500549956895
256x256 f10 IPB,28,10.903908074041293
256x256 f10 IPB,29,10.87452802336964
256x256 f10 all-I,0,15.524108406196714
256x256 f10 all-I,1,15.512810735232698
256x256 f10 all-I,2,15.528251966220873
256x256 f10 all-I,3,15.501304966070881
256x256 f10 all-I,4,15.49880056995473
256x256 f10 all-I,5,15.507318220469312
256x256 f10 all-I,6,15.518822489583147
256x256 f10 all-I,7,15.511398533184003
256x256 f10 all-I,8,15.510205557463888
256x256 f10 all-I,9,15.52290028026399
256x256 f10 all-I,10,15.527851458885943
256x256 f10 all-I,11,15.50399942350652
256x256 f10 all-I,12,15.469534050179211
256x256 f10 all-I,13,15.523137565470941
256x256 f10 all-I,14,15.510505906754442
256x256 f10 all-I,15,15.518131798289422
256x256 f10 all-I,16,15.513783459848183
256x256 f10 all-I,17,15.51101044419278
256x256 f10 all-I,18,15.516881890335823
256x256 f10 all-I,19,15.505335597461793
256x256 f10 all-I,20,15.503733507322027
256x256 f10 all-I,21,15.511589016956464
256x256 f10 all-I,22,15.501471960939181
256x256 f10 all-I,23,15.491003669790144
256x256 f10 all-I,24,15.505136863280407
256x256 f10 all-I,25,15.518160069595474
256x256 f10 all-I,26,15.522968580715057
256x256 f10 all-I,27,15.485169154668316
256x256 f10 all-I,28,15.522562339717354
256x256 f10 all-I,29,15.489448919940115
256x256 f30 IPB,0,10.477463708826694
256x256 f30 IPB,1,10.521242977528097
256x256 f30 IPB,2,10.534610123119013
256x256 f30 IPB,3,10.534675001055875
256x256 f30 IPB,4,10.500772049740592
256x256 f30 IPB,5,10.50786889363305
256x256 f30 IPB,6,10.507907165710222
256x256 f30 IPB,7,10.520541121160704
256x256 f30 IPB,8,10.51980704883944
256x256 f30 IPB,9,10.497167544805949
640x360 f10 IPB,0,10.863272070977368
640x360 f10 IPB,1,10.849371618083433
640x360 f10 IPB,2,10.873562504987454
640x360 f10 IPB,3,10.900485879929423
640x360 f10 IPB,4,10.886618013559744
640x360 f10 IPB,5,10.873702004346775
640x360 f10 IPB,6,10.869466339790499
640x360 f10 IPB,7,10.874440772464645
640x360 f10 IPB,8,10.868592282700611
640x360 f10 IPB,9,10.891930419636513
64x64 f10 IPB,0,12.338646616541357
64x64 f10 IPB,1,12.151169766046792
64x64 f10 IPB,2,12.258798050893342
64x64 f10 IPB,3,12.18920719520319
64x64 f10 IPB,4,12.234073219948119
64x64 f10 IPB,5,12.241645244215936
64x64 f10 IPB,6,11.960254968128982
64x64 f10 IPB,7,12.063667820069202
64x64 f10 IPB,8,12.114638943523465
64x64 f10 IPB,9,12.076014053018197
64x64 f10 IPB,10,12.011327433628328
64x64 f10 IPB,11,12.060460939838373
64x64 f10 IPB,12,12.32847341337908
64x64 f10 IPB,13,12.137188557366965
64x64 f10 IPB,14,12.414361702127655
64x64 f10 IPB,15,12.052212671123842
64x64 f10 IPB,16,12.073318457124644
64x64 f10 IPB,17,12.248750694058856
