experiment,sample,seed,source,width,height,frames,pix_fmt,structure,rc_mode,qp,variant,x265_params,raw_bytes,hevc_bytes,mp4_bytes,ratio_hevc,ratio_mp4,kbps,avg_qp,frames_I,frames_P,frames_B,avgqp_I,avgqp_P,avgqp_B,lossless_rc,encode_wall_s,encode_fps,identical,mae_all,mse_all,psnr_all,max_err_all,mae_Y,mse_Y,psnr_Y,max_err_Y,mae_U,mse_U,psnr_U,max_err_U,mae_V,mse_V,psnr_V,max_err_V,input_sha256,tools
gray,0,2557943700,mt19937,256,256,10,gray,IPB,lossless,,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:lossless=1,655360,860180,,1.312530517578125,,17157.5,4.0,1,2,7,4.0,4.0,4.0,True,0.3358,35.43,True,0.0,0.0,inf,0,0.0,0.0,inf,0,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,0,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=0,655360,973963,,1.4861495971679688,,19433.62,0.0,1,2,7,0.0,0.0,0.0,False,0.3175,37.43,False,0.139041,0.139053,56.699,2,0.139041,0.139053,56.699,2,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,4,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=4,655360,827116,,1.262078857421875,,16496.16,4.9,1,2,7,1.0,4.0,5.71,False,0.352,34.05,False,0.319328,0.327608,52.9773,3,0.319328,0.327608,52.9773,3,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,8,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=8,655360,719451,,1.0977951049804688,,14342.86,8.9,1,2,7,5.0,8.0,9.71,False,0.3796,30.52,False,0.543489,0.658134,49.9477,4,0.543489,0.658134,49.9477,4,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,10,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=10,655360,676575,,1.0323715209960938,,13485.32,10.9,1,2,7,7.0,10.0,11.71,False,0.3654,32.6,False,0.684505,0.946504,48.3696,5,0.684505,0.946504,48.3696,5,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,12,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=12,655360,635699,,0.9699996948242188,,12667.8,12.9,1,2,7,9.0,12.0,13.71,False,0.3649,31.59,False,0.869774,1.423674,46.5967,6,0.869774,1.423674,46.5967,6,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,14,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=14,655360,601586,,0.9179473876953125,,11985.54,14.9,1,2,7,11.0,14.0,15.71,False,0.3981,29.91,False,1.093663,2.136613,44.8335,7,1.093663,2.136613,44.8335,7,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,16,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=16,655360,566506,,0.8644195556640625,,11283.94,16.9,1,2,7,13.0,16.0,17.71,False,0.3702,31.74,False,1.369814,3.242165,43.0225,9,1.369814,3.242165,43.0225,9,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,18,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=18,655360,530994,,0.8102325439453125,,10573.7,18.9,1,2,7,15.0,18.0,19.71,False,0.3715,30.78,False,1.734196,5.101457,41.0539,12,1.734196,5.101457,41.0539,12,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,20,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=20,655360,496470,,0.7575531005859375,,9883.22,20.9,1,2,7,17.0,20.0,21.71,False,0.3845,29.84,False,2.17148,7.861549,39.1757,14,2.17148,7.861549,39.1757,14,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,24,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=24,655360,431424,,0.65830078125,,8582.3,24.9,1,2,7,21.0,24.0,25.71,False,0.4102,28.56,False,3.420326,19.326268,35.2693,22,3.420326,19.326268,35.2693,22,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
gray,0,2557943700,mt19937,256,256,10,gray,IPB,cqp,28,,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=28,655360,364871,,0.5567489624023437,,7251.24,28.9,1,2,7,25.0,28.0,29.71,False,0.399,28.55,False,5.396619,47.420047,31.3712,34,5.396619,47.420047,31.3712,34,,,,,,,,,3c6a0e051d9d81ef75e582442f48b5a315185df9eff83db2679d6bbe79c3eefa,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
