config,qp,n,ratio_mean,ratio_std,ratio_ci95,ratio_q05,ratio_q50,ratio_q95,p_smaller,kbps_mean,kbps_std,avg_qp_mean,psnr_all_mean,psnr_Y_mean,psnr_U_mean,psnr_V_mean,encode_wall_mean,shapiro_p
128x128 f10 IPB,0,20,1.4998565673828124,0.0007383643117503207,0.00034556513508547887,1.4990391031901042,1.49970703125,1.5011525472005207,0.0,7326.3949999999995,3.629208265114905,0.0,57.32591,56.58966,59.32793,59.33102000000001,0.19962999999999997,0.1612911852604983
128x128 f10 IPB,4,20,1.273944091796875,0.0006769757050134518,0.00031683438274257727,1.2730082194010417,1.273919677734375,1.2748472086588543,0.0,6215.469999999999,3.327470985282112,4.900000000000001,53.094875,52.91961,53.4696,53.46697,0.20345,0.5563178026336114
128x128 f10 IPB,8,20,1.109712117513021,0.001928296254614452,0.000902470427005137,1.10624755859375,1.1100199381510416,1.1122821044921878,0.0,5408.236999999999,9.47796175068084,8.900000000000002,50.059819999999995,49.94033,50.312505,50.306290000000004,0.21230500000000002,0.48785856452165544
128x128 f10 IPB,10,20,1.0400919596354166,0.00189940429963932,0.0008889485758471395,1.0385294596354167,1.040155029296875,1.0430600992838543,0.0,5066.02,9.335952013587164,10.900000000000002,48.344755,48.250524999999996,48.539315,48.54014,0.215285,0.10849414843624561
128x128 f10 IPB,12,20,0.9715901692708334,0.0027611548463673994,0.001292260246456123,0.9681188964843749,0.9714680989583334,0.9757570393880208,1.0,4729.3200000000015,13.571628300865067,12.9,46.425955,46.402885000000005,46.476115,46.469165000000004,0.21805499999999997,0.36066183452092027
128x128 f10 IPB,14,20,0.9176055908203127,0.002249808141470806,0.0010529426218891618,0.9139101155598958,0.9175496419270834,0.9206925455729168,1.0,4463.974999999999,11.058256976957122,14.899999999999997,44.52219,44.614995,44.338875,44.34608,0.22413000000000002,0.5793205726193601
128x128 f10 IPB,16,20,0.8638126627604168,0.0027707737185495014,0.0012967620172108585,0.8613008626302083,0.8631632486979166,0.8703293863932292,1.0,4199.572000000001,13.618906981414542,16.899999999999995,42.668229999999994,42.84399500000001,42.33332,42.340379999999996,0.21721,0.001335781358331647
128x128 f10 IPB,18,20,0.8072015380859374,0.0029631526386344623,0.0013867981233021266,0.8024102783203125,0.8074096679687499,0.8109712727864583,1.0,3921.317,14.564487849416079,18.899999999999995,40.77896,40.90077,40.553174999999996,40.537375,0.236055,0.5757131390239977
128x128 f10 IPB,20,20,0.7521004231770834,0.0030124653755385076,0.001409877194593215,0.7483284505208333,0.7513346354166667,0.7568052164713541,1.0,3650.4840000000004,14.806869813846873,20.899999999999995,38.885405000000006,38.99051000000001,38.682010000000005,38.68327000000001,0.230995,0.14258499124739737
128x128 f10 IPB,24,20,0.6489347330729166,0.0018826299136689719,0.0008810979215541685,0.6467791748046875,0.64825439453125,0.6526472981770833,1.0,3143.404,9.253502551665747,24.899999999999995,34.945870000000006,35.04583000000001,34.746105,34.75934,0.25491499999999995,0.0722339784589012
128x128 f10 IPB,28,20,0.5550852457682293,0.0012187976800661195,0.00057041487278212,0.5534783935546875,0.5551534016927083,0.5569089762369792,1.0,2682.115,5.990634357061011,28.899999999999995,31.217960000000005,31.147714999999998,31.363369999999996,31.360750000000003,0.249345,0.8786596375803031
128x128 f10 IPB,32,20,0.46171305338541657,0.0016015523143831259,0.0007495495557664672,0.4597904459635417,0.46165161132812504,0.46434753417968744,1.0,2223.172,7.8719499356559135,32.89999999999999,27.37515,27.156824999999998,27.853770000000004,27.841999999999995,0.24481999999999998,0.4376954227946405
128x128 f10 IPB,36,20,0.3782375081380208,0.001812459967833257,0.0008482573760053484,0.375528564453125,0.37809651692708335,0.38132039388020833,1.0,1812.873,8.908603233894048,36.89999999999999,23.877615,23.212145000000003,25.622894999999993,25.626555000000003,0.24469,0.9609057688996034
128x128 f10 IPB,40,20,0.28650960286458327,0.0009053760167397172,0.00042372901906127,0.2852520751953125,0.28648071289062493,0.28788248697916663,1.0,1362.0120000000002,4.450104197479075,40.89999999999999,20.267295,19.231399999999997,23.624010000000002,23.631935,0.2406,0.950939155770253
128x128 f10 IPB,44,20,0.19521097819010413,0.0006803475011669251,0.00031841243191791405,0.19437296549479163,0.19503173828125,0.19640014648437495,1.0,913.2610000000001,3.3440440377357157,44.89999999999999,16.466770000000004,15.267825000000002,20.855365,20.85333,0.22218999999999997,0.6234781809666992
128x128 f10 IPB,48,20,0.07316243489583331,0.0021233202906385624,0.000993744485462578,0.0701405843098958,0.07344970703124995,0.07636454264322914,1.0,313.36800000000005,10.436543892546647,48.89999999999999,11.818370000000002,11.826294999999998,11.79297,11.815325000000001,0.13322000000000003,0.4812440826658864
