variant,rc,n,ratio_mean,ratio_ci95,psnr_mean,wall_mean,identical_all,frames_I,frames_P,frames_B,ratio_delta_pct,wall_delta_pct,psnr_delta_db
amp-rect-rd5,lossless,5,1.318980916341146,0.004509507432272706,inf,1.12836,True,1.0,2.0,7.0,-0.7358469014627333,125.9340835369028,
rd5,lossless,5,1.3215887451171875,0.0040689005907688005,inf,0.9357400000000002,True,1.0,2.0,7.0,-0.5395863554058189,87.36534379880665,
amp-rd5,lossless,5,1.322221476236979,0.0025180044379891765,inf,0.6946200000000001,True,1.0,2.0,7.0,-0.49196813897292024,39.08533899323216,
rd5-only-check,lossless,5,1.322221476236979,0.0025180044379891765,inf,0.68796,True,1.0,2.0,7.0,-0.49196813897292024,37.751792078811405,
scenecut-default,lossless,5,1.3272216796874998,0.001217017546717345,inf,0.5169400000000001,True,2.0,2.0,6.0,-0.1156617385640546,3.5080693604581326,
rect1,lossless,5,1.327778116861979,0.0024751165596062635,inf,0.52048,True,1.0,2.0,7.0,-0.0737852684855822,4.216891594249339,
tskip-fast,lossless,5,1.3287524414062502,0.0018598221780924407,inf,0.50908,True,1.0,2.0,7.0,-0.0004593397083363371,1.9342437227183318,
cu-lossless,lossless,5,1.3287554931640624,0.0018598221780924474,inf,0.51524,True,1.0,2.0,7.0,-0.00022966985417927077,3.1676745024228126,
tskip,lossless,5,1.3287554931640624,0.0018598221780924474,inf,0.48582000000000003,True,1.0,2.0,7.0,-0.00022966985417927077,-2.723158864282571,
amp,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49851999999999996,True,1.0,2.0,7.0,0.0,-0.1802090424892988,
aq0,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.51482,True,1.0,2.0,7.0,0.0,3.0835769492611576,
aq1,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.5048600000000001,True,1.0,2.0,7.0,0.0,1.0892635457130373,
aq2,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49954,True,1.0,2.0,7.0,0.0,0.024027872331888744,
aq3,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.51014,True,1.0,2.0,7.0,0.0,2.1464899283168526,
b-intra,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49707999999999997,True,1.0,2.0,7.0,0.0,-0.4685435104721636,
baseline,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49942000000000003,True,1.0,2.0,7.0,0.0,0.0,
early-skip,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49928,True,1.0,2.0,7.0,0.0,-0.028032517720566474,
no-cutree,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49516,True,1.0,2.0,7.0,0.0,-0.8529894677826388,
no-deblock,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49772,True,1.0,2.0,7.0,0.0,-0.3403948580353311,
no-rect,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.50364,True,1.0,2.0,7.0,0.0,0.8449801770053167,
no-tmvp,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.5092,True,1.0,2.0,7.0,0.0,1.9582715950502427,
psy-rd2,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49474,True,1.0,2.0,7.0,0.0,-0.9370870209442939,
psy-rdoq2.5,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.51036,True,1.0,2.0,7.0,0.0,2.1905410275919968,
rd3,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.5074400000000001,True,1.0,2.0,7.0,0.0,1.6058628008490006,
rdoq0,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.48222000000000004,True,1.0,2.0,7.0,0.0,-3.443995034239722,
rdoq2,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.52146,True,1.0,2.0,7.0,0.0,4.4131192182932155,
sao,lossless,5,1.3287585449218748,0.0018598221780923433,inf,0.49248000000000003,True,1.0,2.0,7.0,0.0,-1.3896119498618353,
deblock,lossless,5,1.3287595621744792,0.001859822178092414,inf,0.4922000000000001,True,1.0,2.0,7.0,7.655661806715841e-05,-1.445676985302946,
no-early-skip,lossless,5,1.3287615966796875,0.0018598221780923806,inf,0.5043,True,1.0,2.0,7.0,0.00022966985420147523,0.9771334748307936,
no-open-gop,lossless,5,1.3287615966796875,0.0018598221780923806,inf,0.5056,True,1.0,2.0,7.0,0.00022966985420147523,1.237435425093114,
no-signhide,lossless,5,1.3287615966796875,0.0018598221780923806,inf,0.50356,True,1.0,2.0,7.0,0.00022966985420147523,0.8289615954507168,
no-strong-intra-smoothing,lossless,5,1.3287699381510418,0.0018538268000530703,inf,0.50616,True,1.0,2.0,7.0,0.0008574341222811199,1.3495654959753356,
no-weightp,lossless,5,1.3287890625,0.001821357524838744,inf,0.50466,True,1.0,2.0,7.0,0.0022966985417927077,1.0492170918265042,
no-sao,lossless,5,1.3288118489583334,0.0018243599363030167,inf,0.4701000000000001,True,1.0,2.0,7.0,0.004011566786332743,-5.870810139762117,
weightb,lossless,5,1.328992919921875,0.0013736433825289,inf,0.52586,True,1.0,2.0,7.0,0.01763864480088806,5.2941412037963875,
psy-rd0,lossless,5,1.3290502929687498,0.0014029617508595459,inf,0.48522,True,1.0,2.0,7.0,0.021956438059422823,-2.8432982259421036,
ref5,lossless,5,1.329072265625,0.002307201741301297,inf,0.49640000000000006,True,1.0,2.0,7.0,0.02361006100950469,-0.6047014536862738,
no-b-pyramid,lossless,5,1.3293229166666667,0.0025537568293051613,inf,0.50624,True,1.0,2.0,7.0,0.04247361169933406,1.3655840775299355,
ref1,lossless,5,1.3295646158854166,0.001635441552658382,inf,0.49471999999999994,True,1.0,2.0,7.0,0.0606634641502346,-0.9410916663329605,
no-deblock-eff,lossless,5,1.3297969563802083,0.0008552647645428624,inf,0.38088,True,1.0,2.0,7.0,0.07814899571498835,-23.7355332185335,
ctu32,lossless,5,1.3304831949869793,0.0020678229791336713,inf,0.4114000000000001,True,1.0,2.0,7.0,0.12979409025781763,-17.624444355452308,
constrained-intra,lossless,5,1.3321415201822917,0.0010346464957623942,inf,0.49828,True,1.0,2.0,7.0,0.25459668901814947,-0.2282647871530985,
ctu16,lossless,5,1.3333567301432292,0.0027772934780332906,inf,0.3222,True,1.0,2.0,7.0,0.3460512249518377,-35.485162788835055,
rd1,lossless,5,1.3378088378906248,0.002499287485773971,inf,0.31126,True,1.0,2.0,7.0,0.6811089195503106,-37.67570381642707,
psy-rd0,qp16,5,0.8421728515625,0.0006359324729116578,42.58258,0.57478,False,1.0,2.0,7.0,-1.5809772029720892,1.3757099015838214,-0.11894000000000204
rdoq2,qp16,5,0.8424530029296875,0.0012178031765967296,44.89640000000001,1.1055,False,1.0,2.0,7.0,-1.5482378149204723,94.98042258986206,2.194880000000005
psy-rdoq2.5,qp16,5,0.8429528808593749,0.0011561934312305272,44.90582,1.1229,False,1.0,2.0,7.0,-1.4898204754558164,98.04931390877985,2.2042999999999964
no-b-pyramid,qp16,5,0.8477950032552084,0.0016247109298944567,42.51183999999999,0.56884,False,1.0,2.0,7.0,-0.923954509131486,0.3280538996084381,-0.18968000000000984
no-sao,qp16,5,0.8542899576822917,0.0029136346078434444,42.37895999999999,0.5490999999999999,False,1.0,2.0,7.0,-0.16493328606689284,-3.1535503897844874,-0.32256000000000995
no-weightp,qp16,5,0.8553879801432291,0.0011527514192828658,42.698080000000004,0.56706,False,1.0,2.0,7.0,-0.036614856644523464,0.014109845144449906,-0.003439999999997667
ref1,qp16,5,0.8555000813802083,0.0018599549204527538,42.69584,0.56492,False,1.0,2.0,7.0,-0.023514346247699436,-0.3633285124695851,-0.005680000000005236
cu-lossless,qp16,5,0.8555828857421874,0.001681012547953478,42.69782,0.65644,False,1.0,2.0,7.0,-0.013837562705931727,15.778334332780686,-0.003700000000002035
amp,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.56976,False,1.0,2.0,7.0,0.0,0.49031711876961204,0.0
aq0,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.56188,False,1.0,2.0,7.0,0.0,-0.8995026279586593,0.0
aq1,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5785199999999999,False,1.0,2.0,7.0,0.0,2.0353451620868324,0.0
aq2,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5717399999999999,False,1.0,2.0,7.0,0.0,0.839535786094725,0.0
aq3,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5684,False,1.0,2.0,7.0,0.0,0.25044975131398584,0.0
b-intra,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5756400000000002,False,1.0,2.0,7.0,0.0,1.5273907368866801,0.0
baseline,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.56698,False,1.0,2.0,7.0,0.0,0.0,0.0
early-skip,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.57372,False,1.0,2.0,7.0,0.0,1.1887544534198602,0.0
no-cutree,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5706800000000001,False,1.0,2.0,7.0,0.0,0.6525803379308082,0.0
no-deblock,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5558,False,1.0,2.0,7.0,0.0,-1.971850858936841,0.0
no-rect,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5702200000000001,False,1.0,2.0,7.0,0.0,0.571448728350199,0.0
no-tmvp,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5788200000000001,False,1.0,2.0,7.0,0.0,2.0882570813785417,0.0
psy-rd2,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.57934,False,1.0,2.0,7.0,0.0,2.179971074817444,0.0
rd3,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5792200000000001,False,1.0,2.0,7.0,0.0,2.1588063071007912,0.0
rdoq0,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.5662200000000001,False,1.0,2.0,7.0,0.0,-0.134043528872263,0.0
sao,qp16,5,0.8557012939453126,0.002010235809722817,42.70152,0.56966,False,1.0,2.0,7.0,0.0,0.47267981233907186,0.0
deblock,qp16,5,0.8557023111979166,0.002010235809722817,42.70152,0.5717000000000001,False,1.0,2.0,7.0,0.00011887940467580904,0.8324808635225223,0.0
no-early-skip,qp16,5,0.8557043457031248,0.002010235809722822,42.70152,0.57976,False,1.0,2.0,7.0,0.0003566382140496316,2.254047761825806,0.0
no-open-gop,qp16,5,0.8557043457031248,0.002010235809722822,42.70152,0.5736999999999999,False,1.0,2.0,7.0,0.0003566382140496316,1.1852269921337255,0.0
ref5,qp16,5,0.8557761637369792,0.002673829925746291,42.70062,0.5828599999999999,False,1.0,2.0,7.0,0.008749524185169832,2.8008042611732176,-0.0009000000000014552
no-strong-intra-smoothing,qp16,5,0.8559861246744791,0.00144485178083217,42.70504,0.5969,False,1.0,2.0,7.0,0.033286233313178926,5.2770820840241095,0.0035199999999946385
rect1,qp16,5,0.8560530598958334,0.0034925724624125945,42.69226,0.57018,False,1.0,2.0,7.0,0.04110849814178419,0.564393805777974,-0.009260000000004709
weightb,qp16,5,0.8561661783854166,0.001495782981481602,42.70722000000001,0.5686,False,1.0,2.0,7.0,0.05432788794330623,0.2857243641750884,0.005700000000004479
