experiment,sample,seed,source,width,height,frames,pix_fmt,structure,rc_mode,qp,variant,x265_params,raw_bytes,hevc_bytes,mp4_bytes,ratio_hevc,ratio_mp4,kbps,avg_qp,frames_I,frames_P,frames_B,avgqp_I,avgqp_P,avgqp_B,lossless_rc,encode_wall_s,encode_fps,identical,mae_all,mse_all,psnr_all,max_err_all,mae_Y,mse_Y,psnr_Y,max_err_Y,mae_U,mse_U,psnr_U,max_err_U,mae_V,mse_V,psnr_V,max_err_V,input_sha256,tools
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,lossless,,baseline,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:lossless=1,983040,1308071,,1.330638631184896,,26115.32,4.0,1,2,7,4.0,4.0,4.0,True,0.4946,22.4,True,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,cqp,16,baseline,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=16,983040,841367,,0.8558827718098958,,16781.16,16.9,1,2,7,13.0,16.0,17.71,False,0.5297,20.85,False,1.423755,3.487384,42.7058,10,1.389403,3.333195,42.9022,9,1.496991,3.811298,42.3201,10,1.487927,3.780225,42.3556,10,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,cqp,32,baseline,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=32,983040,448876,,0.45662027994791665,,8931.34,32.9,1,2,7,29.0,32.0,33.71,False,0.6012,18.16,False,8.502828,117.094366,27.4454,59,8.693643,122.570151,27.247,59,8.109991,105.865851,27.8832,48,8.132404,106.419745,27.8606,55,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,lossless,,no-sao,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:lossless=1:sao=0,983040,1308073,,1.3306406656901042,,26115.3,4.0,1,2,7,4.0,4.0,4.0,True,0.4626,24.02,True,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,cqp,16,no-sao,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=16:sao=0,983040,839621,,0.8541066487630208,,16746.18,16.9,1,2,7,13.0,16.0,17.71,False,0.534,20.56,False,1.486257,3.775614,42.3609,10,1.4442,3.577751,42.5947,10,1.573291,4.183899,41.915,9,1.56745,4.158783,41.9411,10,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,cqp,32,no-sao,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=32:sao=0,983040,445226,,0.45290730794270834,,8858.28,32.9,1,2,7,29.0,32.0,33.71,False,0.5732,19.06,False,8.795777,124.827284,27.1677,55,8.980019,130.325932,26.9805,55,8.434039,113.969513,27.5629,50,8.420551,113.69046,27.5736,48,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,lossless,,sao,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:lossless=1:sao=1,983040,1308071,,1.330638631184896,,26115.32,4.0,1,2,7,4.0,4.0,4.0,True,0.4847,22.95,True,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,cqp,16,sao,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=16:sao=1,983040,841367,,0.8558827718098958,,16781.16,16.9,1,2,7,13.0,16.0,17.71,False,0.5436,20.29,False,1.423755,3.487384,42.7058,10,1.389403,3.333195,42.9022,9,1.496991,3.811298,42.3201,10,1.487927,3.780225,42.3556,10,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,cqp,32,sao,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:qp=32:sao=1,983040,448876,,0.45662027994791665,,8931.34,32.9,1,2,7,29.0,32.0,33.71,False,0.5947,18.2,False,8.502828,117.094366,27.4454,59,8.693643,122.570151,27.247,59,8.109991,105.865851,27.8832,48,8.132404,106.419745,27.8606,55,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
tools,0,2911400141,mt19937,256,256,10,yuv420p,IPB,lossless,,no-deblock,frame-threads=1:pools=4:log-level=info:keyint=250:min-keyint=25:bframes=4:b-adapt=2:scenecut=0:lossless=1:deblock=0,983040,1308071,,1.330638631184896,,26115.32,4.0,1,2,7,4.0,4.0,4.0,True,0.4892,23.2,True,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,0.0,0.0,inf,0,04de64a868b87608314fcb141a985efd2a49f62ed7a0ca580365a96605f62d6f,rd=3 psy-rd=2.00 early-skip rskip mode=1 signhide tmvp b-intra strong-intra-smoothing deblock sao
